rank,gid,request,reason,priority_score
1,100000003115284100,межбанковские переводы и снятие наличных,"собрал 2.2 млн ₸, дальше ушло лишь 24%; проверить потоки вне выборки",1.0
2,100000004015047100,межбанковские переводы и снятие наличных,"собрал 919 тыс ₸, дальше ушло лишь 8%; проверить потоки вне выборки",0.9588
3,100000005514161100,межбанковские переводы и снятие наличных,"собрал 402 тыс ₸, дальше ушло лишь 12%; проверить потоки вне выборки",0.8847
4,100000002398779100,межбанковские переводы и снятие наличных,"собрал 1.1 млн ₸, дальше ушло лишь 6%; проверить потоки вне выборки",0.8825
5,100000003404627100,межбанковские переводы и снятие наличных,"собрал 878 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.8551
6,100000003701161100,межбанковские переводы и снятие наличных,"собрал 1.5 млн ₸, дальше ушло лишь 23%; проверить потоки вне выборки",0.8256
7,100000002838861100,межбанковские переводы и снятие наличных,"собрал 555 тыс ₸, дальше ушло лишь 2%; проверить потоки вне выборки",0.8148
8,100000002939838100,межбанковские переводы и снятие наличных,"собрал 571 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.791
9,100000004299488100,межбанковские переводы и снятие наличных,"собрал 1.7 млн ₸, дальше ушло лишь 20%; проверить потоки вне выборки",0.7863
10,100000001899164100,межбанковские переводы и снятие наличных,"собрал 292 тыс ₸, дальше ушло лишь 26%; проверить потоки вне выборки",0.7827
11,100000001072022100,межбанковские переводы и снятие наличных,"собрал 1.7 млн ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7764
12,100000004159526100,межбанковские переводы и снятие наличных,"собрал 275 тыс ₸, дальше ушло лишь 25%; проверить потоки вне выборки",0.775
13,100000007055802100,межбанковские переводы и снятие наличных,"собрал 2.0 млн ₸, дальше ушло лишь 30%; проверить потоки вне выборки",0.7715
14,100000006972210100,межбанковские переводы и снятие наличных,"собрал 489 тыс ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7711
15,100000002894076100,межбанковские переводы и снятие наличных,"собрал 1.1 млн ₸, дальше ушло лишь 0%; проверить потоки вне выборки",0.7707
16,100000004071080100,межбанковские переводы и снятие наличных,"собрал 239 тыс ₸, дальше ушло лишь 19%; проверить потоки вне выборки",0.768
