gid,role,role_score,cluster_id,priority_score,evidence,sub_role,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,seed_payers,near_seeds,seed_reach,p_forward,fast_transit_share,max_payers_same_day,cycles,pagerank,hub,authority,betweenness,truncated_by_depth,prio_role,prio_reach,prio_money,prio_pagerank,prio_betw
100000003115284100,coordinator,0.87,6,1.0,"кандидат в организаторы: деньги 4 seed за ≤2 перевода, связан с 7 посредн. на входе и 0 на выходе, вход 2.2 млн ₸",,1,False,8,2,2160500.0,517000.0,15,4,0.23929645915297384,2,4,11,1.0,0.9864603481624759,7.0,2.0,0.0015286375827955714,1.7324688633748277e-05,0.005009559527506991,0.00012780471914467138,False,0.87,0.667,0.981,0.975,0.943
100000004015047100,consolidator,0.897,12,0.9588,"признаки консолидации: получает от 9 плательщиков (3 seed) 919 тыс ₸, дальше 8% полученного",,1,False,9,1,919104.0,69195.0,18,7,0.07528527783580531,3,4,11,1.0,0.636346556832141,2.0,1.0,0.002278597110650866,2.0212962345465124e-07,5.056892202204905e-05,2.2885961335208597e-05,False,0.807,0.667,0.925,0.991,0.863
100000008165763100,coordinator,0.875,0,0.9508,"кандидат в организаторы: деньги 3 seed за ≤2 перевода, связан с 10 посредн. на входе и 4 на выходе, вход 1.2 млн ₸",,1,False,15,17,1165815.0,1267858.0,26,17,1.087529324978663,1,3,9,1.0,0.6805848919989462,4.0,0.0,0.0009102399259160779,0.007660859302985783,0.0009408997842647354,0.00034529403323309597,False,0.875,0.5,0.977,0.947,0.97
100000000331309100,distributor,0.981,5,0.9097,"веерная рассылка: 99 получателям, 126 переводов на 23.0 млн ₸",,2,False,5,99,984635.0,23001375.0,8,126,23.360306103276848,0,3,7,1.0,0.3584307459880116,3.0,32.0,0.0008756899038073739,0.15776904400718877,0.0002278474455725833,0.004557234050267506,False,0.736,0.5,1.0,0.939,0.998
100000007908818100,coordinator,0.743,6,0.908,"кандидат в организаторы: деньги 4 seed за ≤2 перевода, связан с 4 посредн. на входе и 0 на выходе, вход 727 тыс ₸",,1,False,4,6,727475.0,302000.0,4,13,0.4151345407058662,2,4,11,1.0,0.04966887417218543,2.0,0.0,0.00047538119204737516,3.0741409984462654e-19,0.0008570152459958251,0.00017753957884283033,False,0.743,0.667,0.931,0.758,0.953
100000006889963100,coordinator,0.743,6,0.9008,"кандидат в организаторы: деньги 4 seed за ≤2 перевода, связан с 4 посредн. на входе и 0 на выходе, вход 1.4 млн ₸",,1,False,4,1,1431000.0,443475.8,6,3,0.30990621942697416,2,4,11,1.0,1.0,4.0,0.0,0.00042726044416286594,-3.1619029721651797e-20,0.0046560800951491906,2.5164650126160102e-05,False,0.743,0.667,0.967,0.726,0.869
100000005514161100,consolidator,0.742,12,0.8847,"признаки консолидации: получает от 4 плательщиков (1 seed) 402 тыс ₸, дальше 12% полученного",,1,False,4,1,401500.0,50000.0,7,1,0.12453300124533001,1,4,9,1.0,0.0,2.0,0.0,0.0008061423847001035,-6.922698589641003e-20,4.4567658538945235e-06,4.042195768296583e-05,False,0.668,0.667,0.846,0.929,0.892
100000002398779100,consolidator,0.988,0,0.8825,"признаки консолидации: получает от 13 плательщиков (0 seed) 1.1 млн ₸, дальше 6% полученного",,2,False,13,1,1095690.0,66000.0,28,3,0.06023601566136407,0,2,8,1.0,1.0,7.0,0.0,0.0016005031258790202,3.9346171938757935e-05,0.0005927895202450121,1.2780471914467137e-05,False,0.889,0.333,0.937,0.976,0.789
100000003404627100,consolidator,0.767,35,0.8551,"признаки консолидации: получает от 4 плательщиков (1 seed) 878 тыс ₸, дальше 0% полученного",observed_sink,1,False,4,0,877700.0,0.0,5,0,0.0,1,4,11,0.0,0.0,3.0,0.0,0.001378577712565679,-0.0,2.895610842005734e-05,0.0,False,0.69,0.667,0.915,0.971,0.367
100000004156082100,distributor,0.758,2,0.8465,"веерная рассылка: 26 получателям, 29 переводов на 2.3 млн ₸",,1,False,5,26,377366.11,2319556.0,7,29,6.146699288921308,1,3,7,1.0,0.9590438859850765,2.0,11.0,0.0008669668928480412,0.0019143844609469237,7.739634815819222e-06,0.002040035139413781,False,0.568,0.5,0.982,0.938,0.991
