cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles,lead_gid
2,178,13,24536002.56,100000004156082100;100000006518161100;100000005339662100;100000008144528100;100000004707703100,гипотеза: сбор средств от 13 seed в точке консолидации 100000005339662100,"terminal:36, transit:9, consolidator:4, distributor:3",100000004156082100
18,23,9,1258584.0,100000004403675100;100000003809101100;100000003823811100;100000004744306100;100000003988112100,гипотеза: сбор средств от 9 seed в точке консолидации 100000004403675100,"terminal:2, consolidator:1",100000004403675100
15,50,5,7676042.53,100000001857829100;100000008733194100;100000003880331100;100000007170072100;100000003254723100,гипотеза: сбор средств от 5 seed в точке консолидации 100000008733194100,"terminal:9, distributor:2, consolidator:1, transit:1",100000001857829100
6,120,4,16395329.8,100000003115284100;100000007908818100;100000006889963100;100000002957306100;100000002618492100,гипотеза: многоуровневая схема — 4 seed → 0 консолид. / 3 транзит → координатор 100000003115284100,"terminal:33, coordinator:5, transit:3, distributor:2",100000003115284100
12,68,3,10239855.0,100000004015047100;100000005514161100;100000004221668100;100000005171642100;100000006788200100,гипотеза: сбор средств от 3 seed в точке консолидации 100000004015047100,"terminal:12, consolidator:5, transit:4, distributor:1",100000004015047100
35,6,3,4322461.0,100000003404627100;100000008232832100;100000008637537100;100000001732159100;100000008314203100,гипотеза: сбор средств от 3 seed в точке консолидации 100000003404627100,consolidator:1,100000003404627100
0,290,2,27893912.23,100000008165763100;100000002398779100;100000004400305100;100000008346837100;100000002741024100,гипотеза: многоуровневая схема — 2 seed → 16 консолид. / 14 транзит → координатор 100000008165763100,"terminal:36, consolidator:16, distributor:15, transit:14, coordinator:2",100000008165763100
11,70,2,24597153.0,100000001899164100;100000002224132100;100000003265158100;100000001965374100;100000005664922100,гипотеза: сбор средств от 2 seed в точке консолидации 100000001899164100,"terminal:9, transit:3, consolidator:2, distributor:1",100000001899164100
13,63,2,10641537.61,100000002838861100;100000006972210100;100000002894076100;100000000031787100;100000001601320100,гипотеза: многоуровневая схема — 2 seed → 1 консолид. / 2 транзит → координатор 100000006972210100,"terminal:12, distributor:2, coordinator:2, transit:2, consolidator:1",100000002838861100
40,5,2,108007.0,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,гипотеза: локальные переводы вокруг 2 seed без выраженной структуры,terminal:1,100000006562026100
1,185,1,45033107.62,100000002718366100;100000008547948100;100000008489922100;100000002781227100;100000008710791100,гипотеза: веерная рассылка от 100000008547948100 на 26 получателей (выплаты/дробление),"terminal:89, distributor:13, consolidator:9, transit:4",100000002718366100
10,73,1,12253627.0,100000002939838100;100000001072022100;100000008748914100;100000001530983100;100000006977207100,гипотеза: многоуровневая схема — 1 seed → 0 консолид. / 2 транзит → координатор 100000002939838100,"terminal:19, distributor:3, coordinator:2, transit:2",100000002939838100
4,150,1,5518694.0,100000001697501100;100000002733905100;100000001166289100;100000002527114100;100000003942602100,гипотеза: веерная рассылка от 100000001697501100 на 38 получателей (выплаты/дробление),"distributor:2, transit:2, terminal:1",100000001697501100
21,17,1,2977887.0,100000004144536100;100000004160650100;100000002731501100;100000003603979100;100000003031890100,гипотеза: веерная рассылка от 100000004160650100 на 10 получателей (выплаты/дробление),"terminal:4, consolidator:1, distributor:1",100000004144536100
39,5,1,2809200.0,100000004135268100;100000002738256100;100000007507343100;100000004979498100;100000008571433100,гипотеза: транзитная цепочка из 2 счетов,"transit:2, terminal:1",100000004135268100
16,33,1,1727157.0,100000001102676100;100000005612411100;100000002964966100;100000008172352100;100000000993112100,гипотеза: веерная рассылка от 100000004358004100 на 11 получателей (выплаты/дробление),"terminal:3, distributor:1, transit:1",100000001102676100
32,6,1,1615030.0,100000008736940100;100000008193577100;100000005456919100;100000008751429100;100000008659445100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,,100000008736940100
33,6,1,1527967.0,100000005183943100;100000007939160100;100000000580561100;100000003888271100;100000007930878100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,terminal:1,100000005183943100
41,4,1,1404980.0,100000001872484100;100000000785800100;100000008601794100;100000002459163100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,transit:1,100000001872484100
24,13,1,1392916.0,100000001380054100;100000003164661100;100000001782980100;100000005077484100;100000000703894100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,terminal:1,100000001380054100
44,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,гипотеза: локальные переводы вокруг 1 seed без выраженной структуры,terminal:2,100000005034574100
